iter	RMSE
226	4.09336572
227	4.079878421
228	4.074421455
229	4.065715385
230	4.060943922
231	4.05546134
232	4.046770125
233	4.045325476
234	4.034259805
235	4.022402974
236	4.015366356
237	4.009849023
238	4.004601242
239	3.996022966
240	3.99009542
241	3.98663174
242	3.982217004
243	3.973964771
244	3.968263241
245	3.965798267
246	3.961249729
247	3.957259004
248	3.952251166
249	3.946937004
250	3.94237856
251	3.933968882
252	3.929689286
253	3.925564754
254	3.91710579
255	3.911970317
256	3.903612943
257	3.891177762
258	3.886747291
259	3.879506728
260	3.869193938
261	3.864973161
262	3.860268256
263	3.851638388
264	3.844843451
265	3.838106559
266	3.832013367
267	3.824543502
268	3.81659681
269	3.812402635
270	3.804129881
271	3.792203116
272	3.787531118
273	3.777647696
274	3.772631451
275	3.769742553
276	3.764896424
277	3.759858723
278	3.756835444
279	3.751709277
280	3.747474402
281	3.742298497
282	3.737923825
283	3.730184871
284	3.723126319
285	3.716952205
286	3.713218691
287	3.709150465
288	3.701866675
289	3.698441444
290	3.695059674
291	3.688571381
292	3.682038744
293	3.681252379
294	3.676179469
295	3.669508406
296	3.665238777
297	3.6585752
298	3.65552594
299	3.648625812
300	3.647076318
301	3.639604936
302	3.629232851
303	3.61845762
304	3.616828721
305	3.610167254
306	3.6051252
307	3.595993881
308	3.590811035
309	3.586124647
310	3.580733917
311	3.573722835
312	3.569499332
313	3.568495261
314	3.567326513
315	3.561441577
316	3.557065126
317	3.550736293
318	3.547791761
319	3.542264947
320	3.536922748
321	3.529173917
322	3.520759019
323	3.512363785
324	3.507360846
325	3.501641575
326	3.496160776
327	3.495087984
328	3.486538563
329	3.482943695
330	3.479276926
331	3.467962281
332	3.463360846
333	3.45653775
334	3.452474372
335	3.446847758
336	3.443152833
337	3.43313858
338	3.430573751
339	3.424741527
340	3.416525432
341	3.410563704
342	3.403683508
343	3.400006045
344	3.397261416
345	3.390504233
346	3.383442714
347	3.377615613
348	3.376948288
349	3.376079731
350	3.373338026
351	3.369371766
352	3.367784468
353	3.363753694
354	3.359011207
355	3.350680247
356	3.345860339
357	3.340758042
358	3.333156551
359	3.327342002
360	3.326733946
361	3.322588116
362	3.317706484
363	3.310634183
364	3.30341927
365	3.297695955
366	3.296936896
367	3.292306252
368	3.287874302
369	3.283083525
370	3.28121449
371	3.274426126
372	3.26990672
373	3.268021089
374	3.263213204
375	3.257019111
376	3.251382703
377	3.245479503
378	3.239215179
379	3.233782635
380	3.229133822
381	3.224481428
382	3.220535265
383	3.213248328
384	3.206700818
385	3.199755364
386	3.193922338
387	3.18820323
388	3.181978997
389	3.177677387
390	3.172060466
391	3.166599566
392	3.15952474
393	3.155440576
394	3.152078042
395	3.144098524
396	3.138374645
397	3.132480565
398	3.129217102
399	3.126249927
400	3.121503174
401	3.118176196
402	3.116856659
403	3.111878667
404	3.10779429
405	3.100085728
406	3.099498072
407	3.094582082
408	3.093605109
409	3.09154835
410	3.085018108
411	3.084505552
412	3.081022619
413	3.075596794
414	3.071101273
415	3.068010603
416	3.06275749
417	3.058599973
418	3.053448217
419	3.049392791
420	3.048867531
421	3.042982748
422	3.037629783
423	3.032943119
424	3.029262757
425	3.02425923
426	3.019881358
427	3.014298333
428	3.008152063
429	3.004466648
430	3.000784707
431	2.996083078
432	2.991150747
433	2.986311485
434	2.983185589
435	2.976508961
436	2.970631909
437	2.965014274
438	2.961768895
439	2.958930644
440	2.953172613
441	2.950804575
442	2.946443387
443	2.943197497
444	2.940862239
445	2.937236076
446	2.932304812
447	2.927749531
448	2.922797275
449	2.918944159
450	2.916046695
451	2.911658321
452	2.907220239
453	2.901757501
