time,open,high,low,close,vwap,volume,count,tb,tq,qv
2026-05-09 17:25:00+00:00,80789.25,80789.25,80789.25,80789.25,80789.25,0.00013,1,0.0,0.0,10.5026025
2026-05-09 17:26:00+00:00,80789.25,80789.25,80789.25,80789.25,80789.25,0.0,0,0.0,0.0,0.0
2026-05-09 17:27:00+00:00,80789.25,80789.25,80789.25,80789.25,80789.25,0.0,0,0.0,0.0,0.0
2026-05-09 17:28:00+00:00,80809.35,80810.75,80809.35,80810.75,80810.75,0.00121,2,0.00013,10.5052155,97.7808255
2026-05-09 17:29:00+00:00,80810.75,80810.75,80810.75,80810.75,80810.75,0.0,0,0.0,0.0,0.0
2026-05-09 17:30:00+00:00,80813.77,80861.84,80813.77,80861.84,80861.84,0.00065,4,0.00065,52.5414659,52.5414659
2026-05-09 17:31:00+00:00,80861.82,80878.5,80861.82,80878.5,80878.5,0.00138,4,0.00138,111.604026,111.604026
2026-05-09 17:32:00+00:00,80878.5,80878.5,80878.5,80878.5,80878.5,0.0006,1,0.0006,48.5271,48.5271
2026-05-09 17:33:00+00:00,80878.5,80878.5,80878.5,80878.5,80878.5,0.0,0,0.0,0.0,0.0
2026-05-09 17:34:00+00:00,80878.5,80878.5,80878.5,80878.5,80878.5,0.0,0,0.0,0.0,0.0
2026-05-09 17:35:00+00:00,80870.35,80880.39,80870.35,80880.39,80880.39,0.00083,6,0.00083,67.1286609,67.1286609
2026-05-09 17:36:00+00:00,80880.46,80920.92,80880.46,80920.92,80920.92,0.00206,6,0.00206,166.6544095,166.6544095
2026-05-09 17:37:00+00:00,80920.92,80920.92,80920.92,80920.92,80920.92,0.0,0,0.0,0.0,0.0
2026-05-09 17:38:00+00:00,80920.92,80920.92,80920.92,80920.92,80920.92,0.0,0,0.0,0.0,0.0
2026-05-09 17:39:00+00:00,80920.92,80920.92,80920.92,80920.92,80920.92,0.0,0,0.0,0.0,0.0
2026-05-09 17:40:00+00:00,80920.92,80920.92,80920.92,80920.92,80920.92,0.0,0,0.0,0.0,0.0
2026-05-09 17:41:00+00:00,80920.92,80920.92,80920.92,80920.92,80920.92,0.0,0,0.0,0.0,0.0
2026-05-09 17:42:00+00:00,80899.51,80899.51,80899.51,80899.51,80899.51,0.00032,1,0.00032,25.8878432,25.8878432
2026-05-09 17:43:00+00:00,80873.84,80873.84,80863.28,80863.28,80863.28,0.00129,4,0.0,0.0,104.321868
2026-05-09 17:44:00+00:00,80849.14,80849.14,80819.64,80819.64,80819.64,0.00098,4,0.0,0.0,79.2242522
2026-05-09 17:45:00+00:00,80819.64,80819.64,80819.64,80819.64,80819.64,0.0,0,0.0,0.0,0.0
2026-05-09 17:46:00+00:00,80819.64,80819.64,80819.64,80819.64,80819.64,0.0,0,0.0,0.0,0.0
2026-05-09 17:47:00+00:00,80819.64,80819.64,80819.64,80819.64,80819.64,0.0,0,0.0,0.0,0.0
2026-05-09 17:48:00+00:00,80821.7,80821.7,80821.7,80821.7,80821.7,0.00065,1,0.0,0.0,52.534105
2026-05-09 17:49:00+00:00,80800.0,80800.0,80774.56,80774.56,80774.56,0.19367,4,0.0,0.0,15645.9930581
2026-05-09 17:50:00+00:00,80797.39,80797.39,80797.39,80797.39,80797.39,0.00101,2,0.0,0.0,81.6053639
2026-05-09 17:51:00+00:00,80797.39,80797.39,80797.39,80797.39,80797.39,0.0,0,0.0,0.0,0.0
2026-05-09 17:52:00+00:00,80797.39,80797.39,80797.39,80797.39,80797.39,0.0,0,0.0,0.0,0.0
2026-05-09 17:53:00+00:00,80797.39,80797.39,80797.39,80797.39,80797.39,0.0,0,0.0,0.0,0.0
2026-05-09 17:54:00+00:00,80797.39,80797.39,80797.39,80797.39,80797.39,0.0,0,0.0,0.0,0.0
2026-05-09 17:55:00+00:00,80797.39,80797.39,80797.39,80797.39,80797.39,0.0,0,0.0,0.0,0.0
2026-05-09 17:56:00+00:00,80737.11,80737.11,80737.11,80737.11,80737.11,0.00016,2,0.0,0.0,12.9179376
2026-05-09 17:57:00+00:00,80737.11,80737.11,80737.11,80737.11,80737.11,0.0,0,0.0,0.0,0.0
2026-05-09 17:58:00+00:00,80737.11,80737.11,80737.11,80737.11,80737.11,0.0,0,0.0,0.0,0.0
2026-05-09 17:59:00+00:00,80737.11,80737.11,80737.11,80737.11,80737.11,0.0,0,0.0,0.0,0.0
2026-05-09 18:00:00+00:00,80737.11,80737.11,80737.11,80737.11,80737.11,0.0,0,0.0,0.0,0.0
2026-05-09 18:01:00+00:00,80821.71,80863.99,80821.71,80863.99,80863.99,0.00126,8,0.00126,101.8761601,101.8761601
2026-05-09 18:02:00+00:00,80863.98,80863.98,80863.98,80863.98,80863.98,8e-05,1,8e-05,6.4691184,6.4691184
2026-05-09 18:03:00+00:00,80858.87,80858.87,80818.47,80818.47,80818.47,0.00115,3,0.0,0.0,92.9569149
2026-05-09 18:04:00+00:00,80818.47,80818.47,80818.47,80818.47,80818.47,0.0,0,0.0,0.0,0.0
2026-05-09 18:05:00+00:00,80842.6,80842.6,80842.6,80842.6,80842.6,8e-05,1,8e-05,6.467408,6.467408
2026-05-09 18:06:00+00:00,80842.6,80842.6,80842.6,80842.6,80842.6,0.0,0,0.0,0.0,0.0
2026-05-09 18:07:00+00:00,80842.6,80842.6,80842.6,80842.6,80842.6,0.0,0,0.0,0.0,0.0
2026-05-09 18:08:00+00:00,80842.6,80842.6,80842.6,80842.6,80842.6,0.0,0,0.0,0.0,0.0
2026-05-09 18:09:00+00:00,80842.6,80842.6,80842.6,80842.6,80842.6,0.0,0,0.0,0.0,0.0
2026-05-09 18:10:00+00:00,80835.35,80835.35,80835.35,80835.35,80835.35,0.00288,1,0.00288,232.805808,232.805808
2026-05-09 18:11:00+00:00,80835.35,80835.35,80833.1,80833.1,80833.1,0.00279,2,0.00279,225.525069,225.525069
2026-05-09 18:12:00+00:00,80833.1,80833.1,80833.1,80833.1,80833.1,0.0,0,0.0,0.0,0.0
2026-05-09 18:13:00+00:00,80808.72,80808.72,80808.72,80808.72,80808.72,0.00018,1,0.00018,14.5455696,14.5455696
2026-05-09 18:14:00+00:00,80808.72,80808.72,80808.72,80808.72,80808.72,0.0,0,0.0,0.0,0.0
2026-05-09 18:15:00+00:00,80808.72,80808.72,80808.72,80808.72,80808.72,0.0,0,0.0,0.0,0.0
2026-05-09 18:16:00+00:00,80808.72,80808.72,80808.72,80808.72,80808.72,0.0,0,0.0,0.0,0.0
2026-05-09 18:17:00+00:00,80808.72,80808.72,80808.72,80808.72,80808.72,0.0,0,0.0,0.0,0.0
2026-05-09 18:18:00+00:00,80808.72,80808.72,80808.72,80808.72,80808.72,0.0,0,0.0,0.0,0.0
2026-05-09 18:19:00+00:00,80808.72,80808.72,80808.72,80808.72,80808.72,0.0,0,0.0,0.0,0.0
2026-05-09 18:20:00+00:00,80808.72,80808.72,80808.72,80808.72,80808.72,0.0,0,0.0,0.0,0.0
2026-05-09 18:21:00+00:00,80808.72,80808.72,80808.72,80808.72,80808.72,0.0,0,0.0,0.0,0.0
2026-05-09 18:22:00+00:00,80808.72,80808.72,80808.72,80808.72,80808.72,0.0,0,0.0,0.0,0.0
2026-05-09 18:23:00+00:00,80808.72,80808.72,80808.72,80808.72,80808.72,0.0,0,0.0,0.0,0.0
2026-05-09 18:24:00+00:00,80847.99,80847.99,80847.99,80847.99,80847.99,0.00013,1,0.00013,10.5102387,10.5102387
2026-05-09 18:25:00+00:00,80848.0,80883.33,80848.0,80883.33,80883.33,0.00076,3,0.00076,61.4680906,61.4680906
2026-05-09 18:26:00+00:00,80897.92,81003.1,80897.92,81003.1,81003.1,0.49053,20,0.49002,39691.0912215,39732.3859776
2026-05-09 18:27:00+00:00,81029.99,81029.99,81029.0,81029.0,81029.0,0.00057,3,0.00035,28.3603678,46.1868908
2026-05-09 18:28:00+00:00,81008.38,81017.82,81008.38,81017.82,81017.82,0.00034,2,0.00034,27.5440764,27.5440764
2026-05-09 18:29:00+00:00,81038.76,81044.79,81038.76,81044.79,81044.79,0.00021,2,0.00021,17.019225,17.019225
2026-05-09 18:30:00+00:00,81048.92,81079.94,81029.64,81029.64,81029.64,0.00346,5,0.00063,51.0653723,280.3792535
2026-05-09 18:31:00+00:00,80976.22,80982.64,80976.22,80982.64,80982.64,0.00039,2,0.0,0.0,31.581753
2026-05-09 18:32:00+00:00,80989.36,81021.53,80989.36,81014.55,81014.55,0.00237,9,0.0,0.0,191.9981952
2026-05-09 18:33:00+00:00,81039.2,81050.49,81039.2,81050.49,81050.49,0.00031,2,0.00031,25.1241842,25.1241842
2026-05-09 18:34:00+00:00,81038.87,81038.87,81013.73,81013.73,81013.73,0.00204,5,0.00082,66.4518734,165.288624
2026-05-09 18:35:00+00:00,81020.19,81020.19,80974.08,80974.08,80974.08,0.00306,11,0.00013,10.5326247,247.8867378
2026-05-09 18:36:00+00:00,80945.31,80945.31,80945.31,80945.31,80945.31,0.0002,1,0.0,0.0,16.189062
2026-05-09 18:37:00+00:00,80945.31,80945.31,80945.31,80945.31,80945.31,0.0,0,0.0,0.0,0.0
2026-05-09 18:38:00+00:00,80945.31,80945.31,80945.31,80945.31,80945.31,0.0,0,0.0,0.0,0.0
2026-05-09 18:39:00+00:00,80945.31,80945.31,80945.31,80945.31,80945.31,0.0,0,0.0,0.0,0.0
2026-05-09 18:40:00+00:00,80958.05,80958.05,80922.75,80922.75,80922.75,0.00072,5,0.00013,10.5245465,58.275737
2026-05-09 18:41:00+00:00,80917.59,80917.65,80917.59,80917.59,80917.59,0.00262,9,0.0,0.0,212.0041272
