time,low,high,open,close,vol
2025-09-05 17:15:00+00:00,110660.71,110798.88,110696.85,110675.99,47.79455065
2025-09-05 17:30:00+00:00,110202.36,110682.14,110676.29,110354.85,75.91339792
2025-09-05 17:45:00+00:00,110311.57,110618.72,110358.64,110612.61,39.45072572
2025-09-05 18:00:00+00:00,110562.19,110828.81,110605.88,110742.18,75.53997363
2025-09-05 18:15:00+00:00,110742.18,111070.62,110742.19,111063.64,61.89020455
2025-09-05 18:30:00+00:00,111024.55,111288.77,111063.65,111242.61,102.91893945
2025-09-05 18:45:00+00:00,111100.0,111304.04,111242.61,111214.56,95.87555746
2025-09-05 19:00:00+00:00,111126.41,111322.43,111212.77,111209.8,89.06867455
2025-09-05 19:15:00+00:00,111174.34,111428.36,111209.8,111380.13,245.85414511
2025-09-05 19:30:00+00:00,111165.74,111449.99,111387.39,111376.14,246.4944338
2025-09-05 19:45:00+00:00,111361.83,111646.73,111376.14,111630.22,277.61329769
2025-09-05 20:00:00+00:00,111303.17,111680.52,111630.21,111441.22,105.22461213
2025-09-05 20:15:00+00:00,111341.0,111485.65,111441.88,111394.3,82.80060876
2025-09-05 20:30:00+00:00,111319.92,111605.69,111394.29,111557.25,54.67260796
2025-09-05 20:45:00+00:00,111420.73,111646.73,111559.97,111646.68,41.82751835
2025-09-05 21:00:00+00:00,111183.18,111710.42,111646.74,111332.68,59.76781424
2025-09-05 21:15:00+00:00,110368.26,111348.09,111332.68,110976.78,200.92205402
2025-09-05 21:30:00+00:00,110642.82,111062.37,110976.81,110851.94,59.54149458
2025-09-05 21:45:00+00:00,110613.4,110871.23,110854.99,110613.43,20.74926583
2025-09-05 22:00:00+00:00,110507.08,110732.03,110620.2,110615.02,41.33283203
2025-09-05 22:15:00+00:00,110618.46,110708.14,110620.35,110694.54,13.26212558
2025-09-05 22:30:00+00:00,110687.19,110943.84,110694.55,110907.06,38.37347678
2025-09-05 22:45:00+00:00,110810.01,110952.3,110907.06,110812.99,30.89598368
2025-09-05 23:00:00+00:00,110767.09,110891.19,110812.99,110792.95,36.70439557
2025-09-05 23:15:00+00:00,110724.94,110842.28,110792.95,110750.27,19.90766525
2025-09-05 23:30:00+00:00,110702.41,110784.39,110750.28,110753.35,31.27940455
2025-09-05 23:45:00+00:00,110600.0,110757.52,110753.35,110670.02,32.17166495
2025-09-06 00:00:00+00:00,110582.49,110716.39,110670.02,110708.77,30.56313361
2025-09-06 00:15:00+00:00,110557.34,110726.55,110716.55,110690.12,19.79248802
2025-09-06 00:30:00+00:00,110668.34,110835.12,110690.11,110806.09,28.29584307
2025-09-06 00:45:00+00:00,110770.54,110839.9,110809.94,110784.37,13.09201911
2025-09-06 01:00:00+00:00,110746.98,110872.72,110784.41,110846.14,20.55671547
2025-09-06 01:15:00+00:00,110766.84,110873.15,110846.14,110808.62,13.20190945
2025-09-06 01:30:00+00:00,110789.23,110896.3,110808.63,110886.76,10.84577954
2025-09-06 01:45:00+00:00,110868.77,110936.62,110886.3,110878.41,13.07382
2025-09-06 02:00:00+00:00,110797.63,110932.74,110878.41,110806.59,11.16847738
2025-09-06 02:15:00+00:00,110739.31,110844.52,110819.52,110758.63,15.89737256
2025-09-06 02:30:00+00:00,110751.5,110920.01,110756.87,110903.43,9.89950518
2025-09-06 02:45:00+00:00,110903.42,111229.46,110903.43,111219.71,31.33718179
2025-09-06 03:00:00+00:00,111107.69,111224.28,111221.37,111121.67,15.27226256
