time,funding
2025-09-07 00:00:00+00:00,0.0001
2025-09-07 08:00:00+00:00,0.0001
2025-09-07 16:00:00+00:00,0.0001
2025-09-08 00:00:00+00:00,0.0001
2025-09-08 08:00:00+00:00,2.746e-05
2025-09-08 16:00:00+00:00,9.084e-05
2025-09-09 00:00:00+00:00,7.2e-05
2025-09-09 08:00:00+00:00,0.0001
2025-09-09 16:00:00+00:00,9.861e-05
2025-09-10 00:00:00+00:00,8.378e-05
2025-09-10 08:00:00+00:00,0.0001
2025-09-10 16:00:00+00:00,8.112e-05
2025-09-11 00:00:00+00:00,1.631e-05
2025-09-11 08:00:00+00:00,0.0001
2025-09-11 16:00:00+00:00,0.0001
2025-09-12 00:00:00+00:00,0.0001
2025-09-12 08:00:00+00:00,0.0001
2025-09-12 16:00:00+00:00,0.0001
2025-09-13 00:00:00+00:00,0.0001
2025-09-13 08:00:00+00:00,7.823e-05
2025-09-13 16:00:00+00:00,0.0001
2025-09-14 00:00:00+00:00,0.0001
2025-09-14 08:00:00+00:00,0.0001
2025-09-14 16:00:00+00:00,0.0001
2025-09-15 00:00:00+00:00,0.0001
2025-09-15 08:00:00+00:00,0.0001
2025-09-15 16:00:00+00:00,0.0001
2025-09-16 00:00:00+00:00,0.0001
2025-09-16 08:00:00+00:00,0.0001
2025-09-16 16:00:00+00:00,3.588e-05
2025-09-17 00:00:00+00:00,0.0001
2025-09-17 08:00:00+00:00,6.224e-05
2025-09-17 16:00:00+00:00,1.994e-05
2025-09-18 00:00:00+00:00,0.0001
2025-09-18 08:00:00+00:00,7.803e-05
2025-09-18 16:00:00+00:00,-1.289e-05
2025-09-19 00:00:00+00:00,3.051e-05
2025-09-19 08:00:00+00:00,5.892e-05
2025-09-19 16:00:00+00:00,6.204e-05
2025-09-20 00:00:00+00:00,0.0001
2025-09-20 08:00:00+00:00,0.0001
2025-09-20 16:00:00+00:00,0.0001
2025-09-21 00:00:00+00:00,0.0001
2025-09-21 08:00:00+00:00,0.0001
2025-09-21 16:00:00+00:00,0.0001
2025-09-22 00:00:00+00:00,0.0001
2025-09-22 08:00:00+00:00,-7.609e-05
2025-09-22 16:00:00+00:00,-4.552e-05
2025-09-23 00:00:00+00:00,-6.111e-05
2025-09-23 08:00:00+00:00,1.543e-05
2025-09-23 16:00:00+00:00,5.85e-06
2025-09-24 00:00:00+00:00,8.676e-05
2025-09-24 08:00:00+00:00,6.568e-05
2025-09-24 16:00:00+00:00,5.898e-05
2025-09-25 00:00:00+00:00,-0.00011015
2025-09-25 08:00:00+00:00,-5.39e-05
2025-09-25 16:00:00+00:00,-9.97e-06
2025-09-26 00:00:00+00:00,4.059e-05
2025-09-26 08:00:00+00:00,0.0001
2025-09-26 16:00:00+00:00,8.128e-05
2025-09-27 00:00:00+00:00,-2.196e-05
2025-09-27 08:00:00+00:00,4.15e-06
2025-09-27 16:00:00+00:00,2.664e-05
2025-09-28 00:00:00+00:00,5.905e-05
2025-09-28 08:00:00+00:00,4.373e-05
2025-09-28 16:00:00+00:00,-2.78e-05
2025-09-29 00:00:00+00:00,-4.749e-05
2025-09-29 08:00:00+00:00,9.303e-05
2025-09-29 16:00:00+00:00,5.443e-05
2025-09-30 00:00:00+00:00,1.31e-05
2025-09-30 08:00:00+00:00,-1.405e-05
2025-09-30 16:00:00+00:00,-6.511e-05
2025-10-01 00:00:00+00:00,0.0001
2025-10-01 08:00:00+00:00,0.0001
2025-10-01 16:00:00+00:00,0.0001
2025-10-02 00:00:00+00:00,5.724e-05
2025-10-02 08:00:00+00:00,0.0001
2025-10-02 16:00:00+00:00,0.0001
2025-10-03 00:00:00+00:00,-4.79e-06
2025-10-03 08:00:00+00:00,6.485e-05
2025-10-03 16:00:00+00:00,7.483e-05
2025-10-04 00:00:00+00:00,7.616e-05
2025-10-04 08:00:00+00:00,8.523e-05
2025-10-04 16:00:00+00:00,0.0001
2025-10-05 00:00:00+00:00,0.0001
2025-10-05 08:00:00+00:00,0.0001
2025-10-05 16:00:00+00:00,9.663e-05
2025-10-06 00:00:00+00:00,6.715e-05
2025-10-06 08:00:00+00:00,0.0001
2025-10-06 16:00:00+00:00,0.0001
2025-10-07 00:00:00+00:00,0.0001
2025-10-07 08:00:00+00:00,0.0001
2025-10-07 16:00:00+00:00,0.0001
2025-10-08 00:00:00+00:00,0.0001
2025-10-08 08:00:00+00:00,9.121e-05
2025-10-08 16:00:00+00:00,6.077e-05
2025-10-09 00:00:00+00:00,0.0001
2025-10-09 08:00:00+00:00,0.0001
2025-10-09 16:00:00+00:00,1.222e-05
2025-10-10 00:00:00+00:00,0.0001
2025-10-10 08:00:00+00:00,0.0001
2025-10-10 16:00:00+00:00,5.397e-05
2025-10-11 00:00:00+00:00,-0.00117719
2025-10-11 08:00:00+00:00,-0.00017268
