ts,city,target,gfs_max,ens_mean,ens_std,ecmwf_max
2026-09-05T16:59:18+00:00,CHI,2026-09-06,80.1,80.37741935483872,2.3534065463766813,
2026-09-05T17:00:12+00:00,NYC,2026-09-05,80.1,82.56774193548387,1.4184014393253148,
2026-09-05T17:00:17+00:00,NYC,2026-09-06,70.6,75.98387096774194,2.738388597767479,
2026-09-05T17:00:20+00:00,CHI,2026-09-05,82.4,82.06451612903227,1.8027842958828406,
2026-09-05T17:00:24+00:00,CHI,2026-09-06,80.1,80.37741935483872,2.3534065463766813,
2026-09-05T17:01:03+00:00,NYC,2026-09-05,80.1,82.56774193548387,1.4184014393253148,
2026-09-05T17:01:06+00:00,NYC,2026-09-06,70.6,75.98387096774194,2.738388597767479,
2026-09-05T17:01:09+00:00,CHI,2026-09-05,82.4,82.06451612903227,1.8027842958828406,
2026-09-05T17:01:12+00:00,CHI,2026-09-06,80.1,80.37741935483872,2.3534065463766813,
2026-09-05T17:02:03+00:00,NYC,2026-09-05,80.1,82.56774193548387,1.4184014393253148,
2026-09-05T17:02:06+00:00,NYC,2026-09-06,70.6,75.98387096774194,2.738388597767479,
2026-09-05T17:02:09+00:00,CHI,2026-09-05,82.4,82.06451612903227,1.8027842958828406,
2026-09-05T17:02:12+00:00,CHI,2026-09-06,80.1,80.37741935483872,2.3534065463766813,
2026-09-05T17:03:03+00:00,NYC,2026-09-05,80.1,82.56774193548387,1.4184014393253148,
2026-09-05T17:03:06+00:00,NYC,2026-09-06,70.6,75.98387096774194,2.738388597767479,
2026-09-05T17:03:08+00:00,CHI,2026-09-05,82.4,82.06451612903227,1.8027842958828406,
2026-09-05T17:03:11+00:00,CHI,2026-09-06,80.1,80.37741935483872,2.3534065463766813,
2026-09-05T17:33:04+00:00,NYC,2026-09-05,80.1,82.56774193548387,1.4184014393253148,
2026-09-05T17:33:06+00:00,NYC,2026-09-06,70.6,75.98387096774194,2.738388597767479,
2026-09-05T17:33:08+00:00,CHI,2026-09-05,82.4,82.06451612903227,1.8027842958828406,
2026-09-05T17:33:10+00:00,CHI,2026-09-06,80.1,80.37741935483872,2.3534065463766813,
2026-09-05T17:34:04+00:00,NYC,2026-09-05,80.1,82.56774193548387,1.4184014393253148,
2026-09-05T17:34:06+00:00,NYC,2026-09-06,70.6,75.98387096774194,2.738388597767479,
2026-09-05T17:34:07+00:00,CHI,2026-09-05,82.4,82.06451612903227,1.8027842958828406,
2026-09-05T17:34:09+00:00,CHI,2026-09-06,80.1,80.37741935483872,2.3534065463766813,
2026-09-05T17:59:33+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T17:59:44+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T17:59:51+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:05:10+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:05:14+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:05:19+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:05:24+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:05:33+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:05:36+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:05:41+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:05:46+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:06:10+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:06:19+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:08:16+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:08:20+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:08:24+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:08:29+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:09:03+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:09:07+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:09:11+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:09:14+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:09:23+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:09:27+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:09:30+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:09:33+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:16:24+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:16:28+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:16:31+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:16:36+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:20:15+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:20:19+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:20:22+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:20:27+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
